TRANSLATION_NAME,Slovensky
TRANSLATION_KEY,sk
SPECIAL_CHARS,áčéíľřťúý_-+.
FORMULA,Vzorec
CALCULATED_SENSOR,Vypočítaný senzor
NAME,Názov
DECIMALS,Desatiny
VALUE,Hodnota
SENSOR_LOST_WARNING_DELAY,Varovanie strateného senzoru
WARNING_DISABLED,Varovania vypnuté
RANGE,Rozsah
SPACE_WITH_SAMPLES,vzoriek
RESET,Reset
TELEMETRY_SENSOR,Telemetrický senzor
UNIT,Jednotka
WRITE_LOGS,Logovať
ID,ID
CENTER,Stred
SUBTRIM,Subtrim
PWM_CENTER,PWM Stred
NORMAL,Normál
EQUAL,Zhodné
UNPLUGGED,Odpojené
BEHAVIOUR,Chovanie
ADD_NEW_BEHAVIOUR,Pridať nové chovanie
ADD_EXTRA_TRIM,Pridať extra trim
EXTRA_TRIM,Extra trim
SLOW_UP,Spomalenie ↑
MIN,Min
CURVE,Krivka
MAX,Max
CHANNEL,Kanál
INVERT,Invertovať,Invert
SLOW_DOWN,Zpomalenie ↓
INVERTED,Invertovaný
FLIGHT_MODES,Letové režimy
MIX_FLIGHT_MODES_DESCRIPTION,Popis mixovaných letových režimov
MIX_NAME_DESCRIPTION,Upraviť názov mixu
TRIGGER_ON_CONDITION,Podmienka spustenia
COMMENT,Poznámka
FUNCTION,Funkcia
VALUES,Hodnoty
ADD_NEW_VALUE,+ Pridať novú hodnotu
ACTIONS,Akcia
ADD_NEW_ACTION,+ Přidať novú akciu
DURATION_HIGH,Doba trvania aktivity
RISING_EDGE,Stúpanie hrany
DURING,Počas
VALUE1,Hodnota 1
VALUE_X,Hodnota (X)
CHECK_INTERVAL,Interval kontroly
ACTIVE_CONDITION,Aktívny stav
MIN_DURATION,Min. doba trvania
MAX_DURATION,Max. doba trvania
DURATION_LOW,Doba trvání neaktivity
VALUE2,Hodnota 2
DELAY_BEFORE_ACTIVE,Oneskorenie pred aktiváciou
DURATION,Trvanie
SOURCE_A,Zdroj (A)
TRIGGER_OFF_CONDITION,Podmienka vypnutia
DELAY_BEFORE_INACTIVE,Oneskorenie pred deaktiváciou
DELAY_ON_OFF,Oneskorenie ON / OFF
SOURCE,Zdroj
APPLICATION_ID,Aplikačné ID
PHYSICAL_ID,Fyzické ID
ACTION,Akcia
TRAINER,Trenér
TRAINER_MODE,Režim trenér
CHANNEL_RANGE,Rozsah kanálov
CH,CH
OUTPUTS,Výstupy
LAST_MODIFICATION,Posledná úprava
CLONE,Klonovať
MODEL_MATCH,Model ID
